,wind_speed,direction,ghi,pressure,temp_air,precipitation
2021-12-31 23:00:00,3.9484570088588704,-157.58248707805052,0.0,100402.0,11.855157470703148,0.0
2022-01-01 00:00:00,3.6033260323192313,-153.80876401979626,0.0,100397.20833333333,11.76148376464846,0.0
2022-01-01 01:00:00,3.3990667154853416,-157.20152089458827,0.0,100451.5,11.744236246744833,5.3972005844116204e-05
2022-01-01 02:00:00,3.1922930073470317,-157.47190867810667,0.0,100479.35416666667,11.498244222005212,3.709535424908002e-05
2022-01-01 03:00:00,3.2089399099614977,-153.0767317550717,0.0,100478.95833333333,11.327539062500023,1.2595516939957946e-05
2022-01-01 04:00:00,3.1181996156164855,-148.0994479852531,0.0,100488.60416666667,11.176604207356775,1.4754943549633026e-05
2022-01-01 05:00:00,2.8839384581781147,-138.66360473237745,0.0,100465.8125,10.917118326822958,1.211681713660559e-05
2022-01-01 06:00:00,2.845286108245258,-130.82579161572957,0.0,100507.20833333333,10.580824788411462,1.3877948125203432e-05
2022-01-01 07:00:00,2.9800928261283053,-129.28884954717046,1.5264583333333333,100554.45833333333,10.352710978190146,6.780649224917112e-06
2022-01-01 08:00:00,3.0097065844451674,-125.94322112238558,32.963564814814816,100564.375,10.651737467447958,3.0718122919400352e-06
2022-01-01 09:00:00,2.5830537191512892,-116.6710568987233,84.1244212962963,100540.125,11.471632893880212,3.725290298461914e-07
2022-01-01 10:00:00,2.917116223301556,-107.65044875779407,119.48344907407406,100484.125,12.248579915364587,1.0027239720028459e-07
2022-01-01 11:00:00,3.292365217390973,-103.86235344406074,161.01965277777782,100407.72916666667,12.835229492187523,1.2731179594993591e-06
2022-01-01 12:00:00,3.1879610227134982,-100.39270016288688,161.69469907407404,100341.29166666667,13.030653889973962,8.108715216318676e-07
2022-01-01 13:00:00,3.2076997435051275,-101.25022680486319,131.53398148148145,100302.375,12.909951782226585,6.879369417826244e-07
2022-01-01 14:00:00,3.2071750089259474,-100.35164319695377,61.3530324074075,100297.64583333333,12.198088582356775,6.721044580141884e-07
2022-01-01 15:00:00,3.313428348536262,-100.09356397669183,6.726435185185142,100277.125,11.573683675130212,3.29067309697451e-07
2022-01-01 16:00:00,3.4823969763901688,-100.27644113075792,0.0,100252.5625,11.128320312500023,9.622423817745585e-07
2022-01-01 17:00:00,3.6792084899074795,-100.31057078217194,0.0,100200.89583333333,11.19549458821615,1.7674019166709907e-06
2022-01-01 18:00:00,3.323421074169751,-100.21504431853012,0.0,100183.5,10.5501698811849,0.0
2022-01-01 19:00:00,3.6149663760610933,-103.07515554375004,0.0,100130.4375,10.707727050781273,0.0
2022-01-01 20:00:00,3.9806033621786097,-104.15211998856324,0.0,100063.29166666667,10.67218933105471,0.0
2022-01-01 21:00:00,4.0654161934072865,-110.52001913428134,0.0,100034.14583333333,10.79902038574221,0.0
2022-01-01 22:00:00,4.158780717768455,-117.55337341487149,0.0,99986.83333333333,10.698693847656273,0.0
2022-01-01 23:00:00,4.244823449673196,-124.44674145170026,0.0,99973.39583333333,10.970981852213583,0.0
2022-01-02 00:00:00,3.887049433823735,-125.13277604753927,0.0,99926.97916666667,11.251285807291708,0.0
2022-01-02 01:00:00,3.8202968459950597,-130.6193815825564,0.0,99924.95833333333,11.73799540201827,2.389851336677869e-06
2022-01-02 02:00:00,3.922755726876792,-138.11772631999708,0.0,99871.33333333333,12.13099060058596,3.466072181860606e-05
2022-01-02 03:00:00,3.313437033374156,-118.99191852802201,0.0,99766.1875,12.08918151855471,5.619910856087998e-06
2022-01-02 04:00:00,3.1940392646093936,-99.22882243542875,0.0,99639.20833333333,11.61089986165365,0.0
2022-01-02 05:00:00,3.4665339712068635,-99.59744578778557,0.0,99586.8125,10.84706522623702,0.0
2022-01-02 06:00:00,4.111929179434577,-90.25762125971445,0.0,99513.0625,10.72222798665365,5.8988109230995185e-05
2022-01-02 07:00:00,4.878766427435575,-93.864941712003,0.48553240740740744,99389.72916666667,11.21913553873702,6.944561998049328e-07
2022-01-02 08:00:00,5.955970668028109,-122.12858328537004,14.138912037037038,99425.70833333333,11.909717814127646,4.472676664590837e-05
2022-01-02 09:00:00,6.0983667570670335,-132.13077594841303,30.62719907407407,99418.6875,11.417347208658896,0.0008601434528827666
2022-01-02 10:00:00,6.072185425194912,-136.62626468746404,94.89004629629629,99381.0,11.620757039388025,0.00010183639824390411
2022-01-02 11:00:00,6.408586145979698,-145.5987176635249,192.45497685185188,99354.14583333333,12.447249348958337,1.0865430037187811e-07
2022-01-02 12:00:00,7.100493790593293,-153.29782053810283,164.37837962962965,99348.89583333333,12.714359537760458,8.847254017988913e-06
2022-01-02 13:00:00,6.8592157957095425,-158.65138784831717,116.52226851851854,99361.33333333333,12.562025960286462,2.8108867506186023e-05
2022-01-02 14:00:00,5.658994180142408,-156.58042355974658,57.62967592592584,99347.5625,12.068760172526083,3.7116309007010316e-06
2022-01-02 15:00:00,5.258283522237814,-148.45408480795345,8.08092592592597,99365.04166666667,11.33357645670577,4.998097817101622e-07
2022-01-02 16:00:00,5.343873618216125,-143.2780852705194,0.0,99371.16666666667,10.97084452311202,6.394771238168225e-06
2022-01-02 17:00:00,5.6087589923305945,-140.16943684746167,0.0,99331.33333333333,10.7153310139974,0.00011251370112101223
2022-01-02 18:00:00,5.387544042627885,-145.25981505983788,0.0,99146.66666666667,10.384881591796898,0.0018475266794363658
2022-01-02 19:00:00,7.274127573988726,-149.42868725952894,0.0,99096.5625,10.612781778971396,0.0017871061960856123
2022-01-02 20:00:00,8.480463747277419,-157.69771600256445,0.0,99146.625,10.756677246093773,0.00028497911989688873
2022-01-02 21:00:00,8.601022322614533,-163.6788453004553,0.0,99222.3125,10.043623860677087,8.892640471458435e-05
2022-01-02 22:00:00,8.004485011598568,-162.8802953020407,0.0,99288.79166666667,9.56463521321615,8.620259662469199e-05
2022-01-02 23:00:00,7.622969703143708,-160.06451730924925,0.0,99342.625,9.112156168619833,1.336758335431388e-05
2022-01-03 00:00:00,7.367190873657588,-158.9043626417668,0.0,99394.47916666667,8.767134602864587,0.0
2022-01-03 01:00:00,7.2796879148254865,-157.94320216621713,0.0,99416.72916666667,8.608260091145837,4.1940559943517053e-07
2022-01-03 02:00:00,6.968737389539399,-157.1149540196061,0.0,99415.77083333333,8.7215565999349,2.100132405757904e-07
2022-01-03 03:00:00,6.571809338313284,-152.44182621746933,0.0,99387.79166666667,8.341689046223962,9.313225746154785e-10
2022-01-03 04:00:00,6.587589448682641,-147.90297547201416,0.0,99362.33333333333,8.31695454915365,0.0
