time,temp_air,pressure,ghi,precipitation,wind_speed,direction
2022-01-01 00:00:00,285.0799621582031,100526.525,0.0,0.0003329724072386853,3.996702537782609,-157.86612971303185
2022-01-01 01:00:00,284.97266540527346,100521.575,0.0,3.5550259053707126e-05,3.6306612158002762,-154.22736704866506
2022-01-01 02:00:00,284.9514953613281,100576.3,0.0,8.154474198818207e-05,3.428468585961575,-157.5896250353719
2022-01-01 03:00:00,284.7055358886719,100604.1125,0.0,0.00012011341750621796,3.2199755669384333,-157.92521961052222
2022-01-01 04:00:00,284.533642578125,100604.15,0.0,0.00013203173875808716,3.234475008766245,-153.725932040186
2022-01-01 05:00:00,284.38145446777344,100613.7875,0.0,0.00014183148741722106,3.127760168355167,-148.68615822730544
2022-01-01 06:00:00,284.1161743164063,100590.5625,0.0,0.000151592493057251,2.8955673034018004,-139.22434224508834
2022-01-01 07:00:00,283.7954895019531,100632.75,0.0,0.00016296803951263428,2.8825260452498416,-132.29267105266285
2022-01-01 08:00:00,283.57447204589846,100679.325,1.5072222222222222,0.00016691386699676513,3.011532228115789,-130.5507500255471
2022-01-01 09:00:00,283.87095947265624,100689.2,32.70733333333333,0.00016975477337837218,3.053790815272121,-127.27631575395228
2022-01-01 10:00:00,284.6825378417969,100663.95,84.0611111111111,0.00017002001404762269,2.6046334882102187,-118.15243263005715
2022-01-01 11:00:00,285.47569580078124,100606.925,120.21516666666668,0.0001700751483440399,2.9491677887315686,-109.28752520763385
2022-01-01 12:00:00,286.0622802734375,100530.8625,160.93744444444445,0.00017129778861999512,3.288909805926064,-105.35895053295883
2022-01-01 13:00:00,286.25205688476564,100463.725,161.90516666666667,0.0001719526946544647,3.1691169134048414,-101.87287860494416
2022-01-01 14:00:00,286.1319244384766,100424.525,132.152611111111,0.0001725435256958008,3.200672963461547,-103.04677090973593
2022-01-01 15:00:00,285.42627868652346,100419.7625,61.755944444444594,0.00017317086458206176,3.2107075561915592,-102.61198925307733
2022-01-01 16:00:00,284.8000183105469,100398.9,6.767777777777724,0.00017333477735519408,3.3237684974439485,-102.55618514231975
2022-01-01 17:00:00,284.360498046875,100374.1125,0.0,0.00017429143180152095,3.5028956903544533,-102.77938409918579
2022-01-01 18:00:00,284.4420440673828,100321.7375,0.0,0.00017601996652274465,3.7129335330992643,-102.92279668946418
2022-01-01 19:00:00,283.8042877197266,100305.15,0.0,0.00017601996652274465,3.3454769733844207,-102.98027888550706
2022-01-01 20:00:00,283.9818481445312,100251.3875,0.0,0.00017601996652274465,3.657829069637427,-105.94559288567501
2022-01-01 21:00:00,283.9604217529297,100183.825,0.0,0.00017601996623852755,4.043112549721536,-106.99639072950328
2022-01-01 22:00:00,284.0943328857422,100155.5875,0.0,0.00017601996623852755,4.153143510125124,-113.50411206686715
2022-01-01 23:00:00,284.0292602539063,100107.775,0.0,0.00017601996623852755,4.283389197890062,-120.0985407044418
2022-01-02 00:00:00,284.3250671386719,100094.9875,0.0,0.00017601996623852755,4.386900631072562,-126.58962343254132
2022-01-02 01:00:00,284.62705078125,100049.1875,0.0,0.0,3.9875281587626836,-127.08754292690986
2022-01-02 02:00:00,285.1191802978516,100047.55,0.0,1.331046223640442e-06,3.9461340224026045,-132.2007654534533
2022-01-02 03:00:00,285.5049163818359,99993.45,0.0,3.16418707370758e-05,4.048213782082918,-139.49715845685722
2022-01-02 04:00:00,285.4253631591797,99887.6375,0.0,3.55064868927002e-05,3.368859133855797,-120.67270261764185
2022-01-02 05:00:00,284.9154571533203,99761.25,0.0,3.55064868927002e-05,3.210620262123773,-101.32958484314665
2022-01-02 06:00:00,284.1388458251953,99709.1375,0.0,3.550499677658081e-05,3.483294318602583,-101.51932651042131
2022-01-02 07:00:00,284.0349395751953,99633.2625,0.0,8.34837555885315e-05,4.12624464767733,-91.86711075318124
2022-01-02 08:00:00,284.5449493408203,99508.0625,0.4790555555555555,8.34837555885315e-05,4.893779128316888,-95.39230246508143
2022-01-02 09:00:00,285.27259216308596,99547.4,14.241944444444442,0.00011218041181564331,6.081769013389601,-123.83705866638235
2022-01-02 10:00:00,284.6902313232422,99539.5125,31.599333333333337,0.0009256832301616669,6.1609903507938615,-132.77502773664085
2022-01-02 11:00:00,284.8848846435547,99503.0,96.87205555555553,0.0010222107172012328,6.130833613681688,-137.11067653002723
2022-01-02 12:00:00,285.697412109375,99476.0625,192.86755555555558,0.0010222278535366059,6.456155806369703,-145.83205994479073
2022-01-02 13:00:00,285.94476318359375,99471.1625,164.56622222222222,0.001029474288225174,7.139155158649133,-153.47568376371729
2022-01-02 14:00:00,285.8076477050781,99484.85,116.64172222222216,0.0010539688169956206,6.84260108049422,-158.68370531202123
2022-01-02 15:00:00,285.30507202148436,99470.7375,58.287444444444525,0.0010574974119663238,5.660481659389522,-156.70556047980972
2022-01-02 16:00:00,284.56651916503904,99488.475,8.147333333333336,0.0010580196976661682,5.287005902487798,-148.4945927078522
2022-01-02 17:00:00,284.2152130126953,99494.175,0.0,0.0010638654232025147,5.375744464683548,-143.29330631892137
2022-01-02 18:00:00,283.95079650878904,99454.7,0.0,0.001182900369167328,5.6401169172231675,-140.28948204436765
2022-01-02 19:00:00,283.6111999511719,99267.45,0.0,0.0030406802892684937,5.384786222022945,-145.70256460853352
2022-01-02 20:00:00,283.8793182373047,99217.6625,0.0,0.004761549830436707,7.396621503918662,-149.8488927046846
2022-01-02 21:00:00,283.98699951171875,99270.375,0.0,0.004977139830589295,8.48968964508662,-157.96058006689057
